USAID MISSION COMPETITIVE FORECAST - FY15 3rd Quarter ,,,,,,,,,,,,,,
MBIO,A&A Specialist,Award_Title,Award_Description,NAICS_Code,Total_Estimated_Cost,Implementing_Partner,Award_Type,Small_Business_SA,Fiscal_Year_of_Action,Anticipated_Award_Date,Anticipated_Solicitation_Release_Date,Award_Length,Solicitation_Number,Business_Forecast_Status_Change
Bangladesh,Tariq Bin Azam,Livestock RFA-388-14-000003,,,$4M - $9.99M,,Cooperative Agreement,N/A,2015,4/30/15,8/31/14,,,
Bangladesh,Radu Munteanu,USAID/Bangladesh's Innovation for Improving Early Grade Reading Activity,,,$1M - $3.99M,TBD,Grant,N/A,2015,6/1/15,6/1/15,,,
Bangladesh,TBD,New: Adolescent/Reproductive Health Project,,,$1M - $3.99M,,Cooperative Agreement,N/A,2016,9/1/15,9/1/15,,,
Bangladesh,TBD,New program - Political Competition and Consensus-Building,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,5/1/16,8/1/15,,,
Bangladesh,TBD,New program - Evaluations,,,$1M - $3.99M,,Collaborative Agreement,N/A,2015,7/3/16,9/30/15,,,
Bangladesh,TBD,New program - Human Rights,This action is anticipated FY16. Cooperative Agreement.,,$1M - $3.99M,,Cooperative Agreement,N/A,2016,12/1/15,12/1/15,,,
Bangladesh,TBD,New program - Human Rights,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,5/30/15,5/30/15,,,
Bangladesh,Md. Mutaher Hussain,New program - Good Governance (Anti-Corruption),,,$1M - $3.99M,,Cooperative Agreement,N/A,2017,10/31/16,9/1/15,,,
Bangladesh,TBD,Bangladesh Market-Led Solutions for Feed-the-Future and Global Climate Change Initiatives (BAA-Broad Agency Announcement),,,$4M - $9.99M,,Cooperative Agreement,N/A,2015,10/1/15,4/30/15,,,
Bangladesh,TBD,New: Follow on to Cooperative Agreement to NGO- 1,,,$10M - $24.99M,,Cooperative Agreement,N/A,2015,1/30/16,1/30/16,,,
Bangladesh,Ahsanur Rahman,New: Cooperative Agreement to NGO- 2,,,$4M - $9.99M,,Cooperative Agreement,N/A,2015,5/1/15,5/1/15,,,
Bangladesh,TBD,New: Health APS for Ending Preventable Maternal and Child Death,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,9/1/15,9/1/15,,,
Bangladesh,TBD,NGO Digitization - new program,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,6/21/15,6/21/15,,,
Bangladesh,TBD,Private sector engagement APS,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,10/1/15,10/1/15,,,
Bangladesh,TBD,New Nutrition Project,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,10/1/15,10/1/15,,,
Bangladesh,Tariq Bin Azam Ildiko Huhn,New evaluation award,New evaluation award,,"$150,000 - $499,999",,To Be Determined (TBD),TBD,2015,6/30/15,6/30/15,,,
Barbados,Jos_ Luis NÏÐez,Environment (Climate Change),To be designed,,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2015,9/30/15,3/2/15,,,
Barbados,Jos_ Luis NÏÐez,At-Risk Youth Program,Design of new youth development program under strategic period FY15 - FY19,,$25M - $49.99M,TBD,To Be Determined (TBD),N/A,2015,9/30/15,3/31/15,,,
Belarus,,Expanding Venture Funding for Start-ups,"The new activity will support a three-year initiative, which will expand access to venture capital for Belarus start-ups. Illustrative interventions include research on the current barriers to venture capital creation and utilization; advocacy and assistance in drafting laws related to start-up activity and venture capital creation and utilization; awareness raising and educational/outreach events for potential venture capitalists; experience exchanges with regional counterparts; building partnerships for venture capitalists through regional venture capital networks; and establishing the foundation for creating and utilizing local seed and angel investments, and venture capital funds.",,"$500,000 - $999,999",TBD,Cooperative Agreement,N/A,2016,3/31/16,8/31/15,3 years,,
Benin,Frqancine A.,Research and Assessments Service Organization,"National research organization to carry out a range of household health and facility surveys to ensure accurate, independent data for the evaluation of the IFHP program.",621610,"$150,000 - $499,999",TBD,Cooperative Agreement,N/A,2015,9/30/15,7/30/15,3 years,,
Benin,Francine Agblo,HIV Personel Services Contract,Serve as person contact for all HIV activities,813920,"$150,000 - $499,999",TBD,Personal Services Contract (PSC),N/A,2015,9/30/15,7/30/15,2 years,,
Bosnia/Herzegovina,Sanela Pasanovic,Agriculture Market Activity,The goal of the activity is to increase trade and exports of Bosnia and Herzegovina (BiH) food products with the aim of increasing economic growth and advancing BiH's accession into the European Union (EU).,,$10M - $24.99M,TBD,Contract,N/A,2015,9/20/15,3/30/15,5 years,,
Brazil,Cecilia Yanez,"Support the implementation of indigenous communities ""environmental management plans.""","Support the implementation of indigenous communities ""environmental management plans.""",541990,$1M - $3.99M,TBD,Grant,N/A,2015,7/30/15,2/15/15,3 years,,
Brazil,Cecilia Yanez,Biodiversity Monitoring,"To co-create, co-design, co- invest, and collaborate in the development, piloting, and scaling of practical and cost-effective innovations that will help address critical challenges in biodiversity conservation in the Amazon.",541990,$1M - $3.99M,TBD,Development Innovation Accelerator (DIA),N/A,2015,7/15/15,12/16/14,3 years,,
Brazil,Cecilia Yanez,Private Sector Biodiversity Partnership,"To create the Environmental Public Private Partnership activity in order to increase USAID/Brazil's portfolio of partnerships and improve biodiversity conservation, through the use of science, technology and innovation",541990,$1M - $3.99M,TBD,Grant,N/A,2015,5/30/15,12/19/14,3 years,APS-512-15-000001,
Brazil,Cecilia Yanez,Outreach and Communication Activity,Outreach and Communication Activity,541990,"$500,000 - $999,999",TBD,Contract,N/A,2016,1/10/16,4/30/15,3 years,,
Burma,Maria Arenas,Private Sector Development,"Support economic reforms to facilitate Myanmar's integration into ASEAN, and lay a strong foundation for sustained, broad-based economic development.",541990,$10M - $24.99M,TBD,Contract,N/A,2015,9/30/15,1/30/15,5 years,,
Cambodia,Sokun Mealea Prak,Cambodia Democratic Processes and Reforms Program,This award will be to promote political competition and electoral accountability.,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,10/1/15,3/2/15,5 years,,
Cambodia,Honey Sokry,Cambodia Actions to Counter Trafficking in Persons (C-ACT),Counter trafficking in persons program for Cambodia.,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,3/2/15,4 years,,
Cambodia,Honey Sokry,Malaria Elimination Project Cambodia (MEP-C),New Cambodia Malaria Project,,$10M - $24.99M,TBD,Contract,N/A,2015,6/1/16,9/30/15,5 years,,
Cambodia,Honey Sokry,Cambodia Malaria Project,New Cambodia Malaria Project,,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2015,6/1/16,9/30/15,5 years,,
Cambodia,Honey Sokry,Health Commodities Social Marketing Project,Health Commodities Social Marketing Project,,$4M - $9.99M,TBD,To Be Determined (TBD),N/A,2015,9/30/15,4/1/15,4 years,,
Cambodia,Honey Sokry,USAID/Cambodia Monitoring and Evaluation and Administrative Support,Issue a BPA to local organizations to provide monitoring and evaluation and administrative support to USAID/Cambodia.,,"$500,000 - $999,999",TBD,Blanket Purchase Agreement (BPA),N/A,2015,7/31/15,5/1/15,3 years,,
Cambodia,Brian K. Woody,Cambodia Feed the Future Program,"Improve food security through enhanced agricultural development and rational management of natural resources. Supports indirectly local procurement reform, science and technology and innovation, strengthening monitoring and evaluation.",541990,$10M - $24.99M,TBD,Contract,N/A,2016,11/1/16,8/3/15,5 years,,Combination of Changes
Cambodia,Honey Sokry,New Cambodia Education Project,New Cambodia Education Project,,$4M - $9.99M,TBD,To Be Determined (TBD),N/A,2016,6/1/16,11/1/15,5 years,,New Opportunity Not Previously Forecasted
Central Asian Republic,Natalia Portnyagina,Feed the Future Tajikistan Agriculture and Water Project,"This agricultural and water activity is a key component in USAID Tajikistan's overall Feed the Future program to improve nutrition of women of reproductive age and children under the age of two in what is referred to as nutrition sensitive agriculture. Feed the Future Tajikistan Agriculture and Water activity will directly support Feed the Future objectives by assisting smallholder farmers to increase, diversify, and add value to their agricultural production to address dietary deficiencies and market surplus production. Feed the Future Tajikistan Agriculture and Water activity will place special emphasis on engaging women in all activities. Feed the Future Tajikistan Agriculture and Water activity's agricultural interventions will be coupled with a robust portfolio of non-agricultural Feed the Future Tajikistan activities implemented through separate mechanisms to address sanitation, hygiene, health behavior change, iodized salt, wheat fortification, and promoting private sector entrepreneurship.",,$10M - $24.99M,TBD,Contract,N/A,2015,9/30/15,3/10/15,3 years,SOL-176-15-000005,
Central Asian Republic,Natalia Portnyagina,Tajikistan Agriculture and Water to Optimize Nutrition (TAWON),This agricultural and water project is a key component in USAID Tajikistan's overall Feed the Future program to improve nutrition of women of reproductive age and children under the age of two. (three years plus two option years),,$10M - $24.99M,TBD,Contract,N/A,2015,9/30/15,1/15/15,3 years,,
Central Asian Republic,Zhannat Koxalova,Governance Support Program,"The purpose of the Governance Support Program (GSP) is to strengthen the accountability, effectiveness and transparency of governance in Turkmenistan.",,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,7/15/16,1/15/15,4 years,,
Central Asian Republic,Olessya Oliyarnik,New HIV Flagship project,"The purpose of this HIV Regional Flagship Activity is to increase use of evidence-based government- and NGO-provided HIV prevention, treatment and care services by people living with HIV and key populations. (three years plus one two-years option)",,$25M - $49.99M,TBD,Contract,N/A,2015,7/15/15,1/15/15,3 years,,
Central Asian Republic,Natalya Virt,Legislative Strengthening Project in Kyrgyzstan,Legislative Strengthening Project in Kyrgyzstan,,$4M - $9.99M,TBD,Contract,N/A,2015,9/30/15,1/15/15,5 years,,
Colombia,Nubia Farfàn,Afro-Colombian and Indigenous Inclusion Program,Afro-colombian and Indigenous Inclusion Program,,$50M - $74.99M,TBD,Cooperative Agreement,N/A,2016,9/30/16,6/2/16,5 years,,
Colombia,Nubia Farfàn,Reintegration Program,Reintegration Program,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,7/1/15,3/2/15,3 years,,
Colombia,Nubia Farfàn,Reconciliation Program,Reconciliation Program,,$50M - $74.99M,TBD,Cooperative Agreement,N/A,2015,10/30/15,7/1/15,5 years,,
Colombia,Paula Cubillos,Connecting Producers to Markets,"Improve the management, organization, competitiveness and market responsiveness of rural producer associations.",,$50M - $74.99M,TBD,Contract,N/A,2015,9/1/15,3/2/15,5 years,,
Colombia,Paula Cubillos,Rural Financial Services,"Improve inclusive financial intermediation in selected conflictive areas to promote the provision of market-based rural financial services for micro, small and medium size producers and businesses.",,$10M - $24.99M,TBD,Contract,N/A,2015,7/11/15,1/5/15,5 years,,
Colombia,William Fothergill,Public Opinion Activity,Analysis and dissemination of Colombia public opinion toward democracy.,541990,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,8/31/15,3/15/15,,,
Colombia,Miguel Atuesta,ARTISANAL GOLD MINING - ENVIRONMENTAL IMPACT REDUCTION PROGRAM,"Improve law-abiding mining operations in targeted geographic areas, provide miners with legal, additional economic opportunities and reform degraded areas into productive use areas, with a focus on commercial forestry plantations.",,$10M - $24.99M,,Contract,N/A,2015,9/6/15,12/12/14,5 years,,
Democratic Republic of the Congo,Emily Revis,Accelerating Social and Behavior Change,Behavior change communication to support improved social development outcomes.,541990,$25M - $49.99M,TBD,Contract,N/A,2015,12/15/15,9/30/15,5 years,,
Democratic Republic of the Congo,"Revis, Emily",Integrated HIV/AIDS Project (IHAP),Provide services to reduce the incidence and prevalence of HIV/AIDS and provide quality care and treatment services.,923120,$25M - $49.99M,TBD,Contract,N/A,2015,10/24/15,3/15/15,,,
Democratic Republic of the Congo,OAA/DRC,Accelerating Social and Behavior Change,Behavior change communication to support improved social development outcomes.,541990,$10M - $24.99M,TBD,Contract,N/A,2015,4/26/16,8/3/15,,TBD,New Opportunity Not Previously Forecasted
Democratic Republic of the Congo,OAA/DRC,IHP-Katanga,Increasing access to and quality of health services while strengthening the capacity of the health system.,923120,$75M - $149.99M,TBD,Contract,N/A,2015,4/5/16,7/13/15,,TBD,New Opportunity Not Previously Forecasted
Democratic Republic of the Congo,OAA/DRC,IHAP,Provide services to reduce the incidence and prevalence of HIV/AIDS and provide quality care and treatment services.,923120,$25M - $49.99M,TBD,Contract,N/A,2015,2/9/16,5/15/15,,TBD,New Opportunity Not Previously Forecasted
Democratic Republic of the Congo,OAA/DRC,IHP-Kasai,Increasing access to and quality of health services while strengthening the capacity of the health system.,923120,$50M - $74.99M,TBD,Contract,N/A,2015,3/1/16,6/8/15,,TBD,New Opportunity Not Previously Forecasted
Democratic Republic of the Congo,OAA/DRC,Mission Wide M&E,"Provide monitoring and evaluation services for USAID/DRC CDCS Goal, Objectives, and Activities",541990,$25M - $49.99M,TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,2/1/16,7/1/15,,TBD,New Opportunity Not Previously Forecasted
Democratic Republic of the Congo,OAA/DRC,Integrated governance Activity,"The overall purpose of IGA is to strengthen targeted governance institutions in order to improve the delivery of health, education, and economic growth services at the community level and to strengthen the social contract between citizens and government.",921190,$25M - $49.99M,TBD,Contract,N/A,2015,2/1/16,5/15/15,5 years,TBD,Change in Award Description
Dominican Republic,Eyole Luma,Civil Society Organizations,"To national CSO, academic, and private sector efforts to assess crime and develop evidence-based recommendations to improve justice and citizen security in the DR",541990,$4M - $9.99M,TBD-New,Cooperative Agreement,no,2015,6/10/15,1/30/15,,,
Dominican Republic,Eyole Luma,Formal Reading/Basic Education,A five year activity with the overall objective of increasing the reading skills of students in targeted areas by supporting sustainable best practices in education in the Dominican Republic.,541990,$10M - $24.99M,TBD-New,Cooperative Agreement,no,2015,7/1/15,11/6/14,5 years,,
Dominican Republic,Eyole Luma,At Risk Youth Program,,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,7/30/15,5/4/15,,,
Dominican Republic,Jose Luis Nunez,Organization to manage grants with Major Baseball League,,,"$150,000 - $499,999",TBD,Cooperative Agreement,N/A,2015,9/15/15,6/15/15,2 years,,
East Timor,Suthicha Chussananalin,HASOI-MCH,The new health project focuses on Maternal and Child Health and it is in its PAD stage. An approved PAD is expected to be available in February 2015.,541990,$4M - $9.99M,TBD,Cooperative Agreement,no,2015,9/1/15,4/17/15,5 years,,
Egypt,Nevine Hindy,Adult Lit.,Adult Literacy Activity,,$4M - $9.99M,Adult Lit.,To Be Determined (TBD),N/A,2016,3/31/16,9/1/15,,,
Egypt,Shaymaa Shaatout,A&E contract,Architect & Engineering Services of a local engineering consulting firm specialized in infrastructure works to assist in Monitoring and certifying the work to be implemented in 5 governorates.,,$1M - $3.99M,,Contract,N/A,2015,6/30/15,4/29/15,10-12 months,,
Egypt,Sherine Gerguis,University Partnership Program HEI,University Partnership Program HEI,,$50M - $74.99M,TBD,Cooperative Agreement,N/A,2015,5/31/15,9/1/14,5 years,,
Egypt,Nevine Hindy,Improving health services quality in Egypt through reducing hospital acquired infections and antibiotic misuse,,,$10M - $24.99M,TBD,Leader with Associate Award (LWA),N/A,2014,9/30/15,3/30/14,,,
Egypt,Nihal Montasser,"Facilities Operations, Custodial and Supply Management Services (FOCS)","Facilities Operations, Custodial and Supply Management Services",,$4M - $9.99M,TBD,Contract,TBD,2015,6/30/15,1/22/15,5 years,,
El Salvador,Renata Suarez,APS for Human Rights and Regional Capacity for Prevention and Violence Interruption Academy,APS for Human Rights and Regional Capacity for Prevention and Violence Interruption Academy,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,9/15/15,3/15/15,,,
El Salvador,Ileana Parraga,Improved Workforce for Tradables,Expand economic growth opportunities in tradable sectors through increased productivityof targeted business,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,4/30/15,5 years,,
El Salvador,Renata Suarez,TBD,Transparency/Civic Ed/Anti Corruption Project,,$10M - $24.99M,TBD,To Be Determined (TBD),N/A,2015,3/30/16,6/30/15,,,
Ethiopia,Tigist Yifru,The Innovation Fund for Improving Food Security in Ethiopia (IFSE),"The purpose of the Innovation Fund for Improving Food Security in Ethiopia (IFSE) project is to be to identify and test innovations with the potential to achieve cost-effective, scalable solutions to the problems that chronically food insecure households face in Ethiopia",,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,5/5/15,1/12/15,3 years,,
Ethiopia,Tigist Yifru,Enhanced Livelihoods Application (ELA),"Promoting practical applications of livelihoods information in aiding the decision-making process, both on the emergency response and development planning sides, and building capacity for Disaster Risk Reduction (DRR) and Climate Change Adaptation (CCA) in Ethiopia",624230,$4M - $9.99M,TBD,Contract,N/A,2015,7/31/15,3/31/14,2 years,,
Ethiopia,Tsegereda Gebremedhin,Strengthening Social and Behavioral Change Communication in Health in Ethiopia,"This award is USAID/Ethiopia's flagship program on Social and Behavioral Change Communication in Health (SBCC-HEALTH) and will support the national, regional and local level health sector responses. The proposed activities under this RFA will be linked with SBCC health programs currently being supported by USAID-Ethiopia. The expected results under this award are: Strengthened local capacity to implement and sustain SBCC activities, strengthened national SBCC structures, improved communication and collaboration between donors, implementing partners and the FMoH for SBCC activities, improved quality of SBCC activities and implementation of evidence based FMoH SBCC activities supported. It is part of GHI and demand creation initiative for the health care system.",,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,6/30/15,2/28/15,,,
Ethiopia,Mariamawit Girma,TBD,Support to tertiary institutions including vocational education,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,9/22/15,5/18/15,4 years,,
Ethiopia,,Ethiopia Performance Management & Evaluation Service (EPMES).,"The Ethiopia Performance Monitoring and Evaluation Service (EPMES) activity is a 5-year contract (3 year base plus two option years) that will provide USAID/Ethiopia with project/activity external evaluation, performance monitoring, and performance management support services in alignment with the USAID Automated Directives System (ADS) and Evaluation Policy. It is anticipated that this contract will assist USAID/Ethiopia and its partners to generate empirical data on project/activity implementation as well as foster learning and knowledge management to improve evidence-based project design and development programming in support of the Country Development and Cooperation Strategy (CDCS).",,$10M - $24.99M,,Contract,N/A,2015,5/31/15,1/31/15,,,
Ethiopia,Tsegereda Gebremedhin,TRANSFORM: M&E Large Monitoring and Evaluation award for TRANSFORM IPs,"This award will be responsible for the baseline, midterm, and endline evaluations of all the TRANSFORM activities.",,$4M - $9.99M,TBD,Contract,N/A,2015,5/15/15,9/15/15,,,
Ethiopia,Tesfaye Wolde,Water assessemnt for 17 sites - TBD,Water assessemnt for 17 sites - TBD,237110,"$150,000 - $499,999",TBD,Contract,N/A,2015,6/15/15,5/15/15,,,
Ethiopia,Tesfaye Wolde,Electrical supply for 17 sites - TBD,Electrical supply for 17 sites - TBD,221122,$1M - $3.99M,,Contract,N/A,2015,6/15/15,5/15/15,,,
Ethiopia,Mariamawit Girma,Higher Education Support Project,"Establish a higher education program that focuses on improving the quality of Ethiopian institutions and aspiring staff, with a focus on female leadership and empowerment, which may include the use of partnerships with non-Ethiopian universities.",,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,1/5/16,9/15/15,3 years,,
Ethiopia,Tigist Yifru,PSNP-Plus Post Project Evaluation,Consultancy Service for the Productive Safety Nets (PSNP)-Plus Post Project Evaluation. The purpose of this project evaluation is to get an independent assessment of sustainability of efforts and outcomes of PSNP plus since it was phased out in December 2011.,624190,"$150,000 - $499,999",TBD,Contract,N/A,2015,7/31/15,3/31/15,1-3 months,,
Ethiopia,Tigist Yifru,Commodity Review-DFAP,Consultancy Service for Commodity Review of the four Title II Development Food Assistance Program(DFAP) Mechanisms. The purpose of this review is to investigate and determine whether each implementing partner under the Title II- DFAP has established and maintains a sufficient internal control systems to manage and utilize Title II-PL480 food resources.,541990,"$150,000 - $499,999",TBD,Contract,N/A,2015,6/30/15,2/27/15,1-3 months,,
Ethiopia,Tigist Yifru,"Commodity Review- DFAP (Oromia, Dire Dawa and Somali Regions)","Consultancy Service for Commodity Review of the four Title II Development Food Assistance Program(DFAP) Mechanisms. The purpose of this review is to investigate and determine whether each implementing partner of Oromia, Dire Dawa and Somali regions under the Title II- DFAP has established and maintains a sufficient internal control systems to manage and utilize Title II-PL480 food resources.",541990,"$0 - $149,999",TBD,Contract,N/A,2015,6/30/15,3/31/15,1-3 months,,
Ethiopia,Tigist Yifru,Commodity Review-DFAP (Amhara and Tigray Regions),Consultancy Service for Commodity Review of the four Title II Development Food Assistance Program(DFAP) Mechanisms. The purpose of this review is to investigate and determine whether each implementing partner of Amhara and Tigray regions under the Title II- DFAP has established and maintains a sufficient internal control systems to manage and utilize Title II-PL480 food resources.,541990,"$0 - $149,999",TBD,Contract,N/A,2015,6/30/15,3/31/15,1-3 months,,
Ethiopia,Tigist Yifru,The Innovation Fund for Improving Food Security in Ethiopia (IFSE),"The purpose of the Innovation Fund for Improving Food Security in Ethiopia (IFSE) project is to be to identify and test innovations with the potential to achieve cost-effective, scalable solutions to the problems that chronically food insecure households face in Ethiopia",,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,5/5/15,1/12/15,3 years,,
Georgia,TBD,Building Resilient Communities (BRC),"The goal of this activity is to increase household incomes and create new jobs through sustainable economic growth in the targeted regions of Georgia, which will include the Administrative Bounder Lines (ABL) of Georgia's breakaway regions of South Ossetia and Abkhazia.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,1/30/15,5 years,,
Georgia,TBD,Election and Political Process Monitoring for 2016-2018 Elections,Election and Political Process Monitoring for 2016-2018 Elections,541990,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,8/27/15,2/27/15,,,
Georgia,Maya Chelidze,GDA APS,Development of Georgia's Hazelnut Industry.,541990,$4M - $9.99M,,Cooperative Agreement,N/A,2015,8/28/15,12/8/14,5 years,,
Georgia,Maya Chelidze,Zrda,"The goal of this activity is to increase household incomes and create new jobs through sustainable economic growth in the targeted regions of Georgia, which will include the Administrative Bounder Lines (ABL) of Georgia's breakaway regions of South Ossetia and Abkhazia.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,1/30/15,5 years,,
Georgia,Eka Gamezardashvili,Transparent and Accountable Governance in Georgia Through Direct Awards to Georgia's Civil Society Organizations,"The overall goal of USAID?s Strengthening Transparent and Accountable Governance in Georgia through Civil Society APS is to support activities of non-governmental organizations to increase civil society engagement, government accountability, and access to information. Strong democratic institutions and participatory, accountable governance are crucial elements for improving peoples' lives in a sustainable way.",541990,"$500,000 - $999,999",TBD,Cooperative Agreement,N/A,2015,8/31/15,12/10/14,3 years,,
Georgia,,Youth Development in Georgia (APS),"The purpose of this APS is to ensure that youth are better able to access economic, educational, and social opportunities; share in economic growth; live healthy lives; and contribute to household, community, and national wellbeing. Additionally, it will help ensure that youth participate in democratic and development processes, and play active roles in peacebuilding and civil society.",541990,$1M - $3.99M,,Cooperative Agreement,N/A,2015,8/31/15,1/30/15,,,
Ghana,Nana Derby,2016 Ghana National General Elections Support,2016 Ghana National General Elections Support,,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,8/10/15,4/6/15,2 years,,
Ghana,Nana Derby,Northern Ghana Governance,Governance/Feed the Future Activity in Northern Ghana,,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,12/7/15,5/26/15,5 years,,Change in Anticipated Solicitation Date
Ghana,Harriet Luwemba,People for Health,Build civil society capacity to monitor quality and access to health services and strengthen relationships between civil society and key institutions. Strengthen community structures for health promotion.,541990,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,10/2/15,4/28/14,5 years,,Combination of Changes
Ghana,Harriet Luwemba,Key Populations,Follow-on to Sharper,541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,10/1/15,5/1/15,5 years,,
